Timestamp,Vehicle_Count
2022-02-13 12-54-26,6
2022-02-13 13-01-06,11
2022-02-13 13-06-06,8
2022-02-13 13-10-46,9
2022-02-13 13-17-07,5
2022-02-13 13-19-47,3
2022-02-13 13-30-07,10
2022-02-13 13-37-47,8
2022-02-13 13-40-07,5
2022-02-13 13-46-07,6
2022-02-13 13-52-48,10
2022-02-13 13-56-48,10
2022-02-13 14-01-48,11
2022-02-13 14-05-28,8
2022-02-13 14-09-28,8
2022-02-13 14-14-28,2
2022-02-13 14-21-49,7
2022-02-13 14-26-09,7
2022-02-13 14-32-09,1
2022-02-13 14-36-09,6
2022-02-13 14-41-09,12
2022-02-13 14-44-49,5
2022-02-13 14-53-10,7
2022-02-13 14-57-10,8
2022-02-13 14-59-50,6
2022-02-13 15-12-30,8
2022-02-13 15-15-50,9
2022-02-13 15-20-31,10
2022-02-13 15-25-11,8
2022-02-13 15-31-51,6
2022-02-13 15-36-51,9
2022-02-13 15-40-51,4
2022-02-13 15-44-52,7
2022-02-13 15-51-12,5
2022-02-13 15-57-32,0
2022-02-13 16-00-12,8
2022-02-13 16-11-32,6
2022-02-13 16-19-52,10
2022-02-13 16-26-13,4
2022-02-13 16-30-33,0
2022-02-13 16-37-53,5
2022-02-13 16-41-33,2
2022-02-13 16-46-13,8
2022-02-13 16-50-33,6
2022-02-13 16-55-34,8
2022-02-13 17-02-14,6
2022-02-13 17-06-14,11
2022-02-13 17-11-14,6
2022-02-13 17-15-14,10
2022-02-13 17-23-15,14
2022-02-13 17-25-15,10
2022-02-13 17-30-35,10
2022-02-13 17-36-15,7
2022-02-13 17-39-35,7
2022-02-13 17-45-15,5
2022-02-13 17-49-16,8
2022-02-13 17-54-36,4
2022-02-13 17-59-36,7
2022-02-13 18-05-36,5
2022-02-13 18-11-16,3
2022-02-13 18-15-16,5
2022-02-13 18-21-57,8
2022-02-13 18-30-17,5
2022-02-13 18-37-57,4
2022-02-13 18-40-17,6
2022-02-13 18-46-18,12
2022-02-13 18-50-38,5
2022-02-13 18-56-18,10
2022-02-13 18-59-58,4
2022-02-13 19-05-18,11
2022-02-13 19-11-18,10
2022-02-13 19-14-19,4
2022-02-13 19-19-59,3
2022-02-13 19-24-39,8
2022-02-13 19-29-39,10
2022-02-13 19-36-19,5
2022-02-13 19-39-19,5
2022-02-13 19-45-00,1
2022-02-13 19-49-00,3
2022-02-13 19-55-40,1
2022-02-13 20-00-00,1
2022-02-13 20-04-40,2
2022-02-13 20-08-40,0
2022-02-13 20-20-01,2
2022-02-13 20-26-21,2
2022-02-13 20-29-41,1
2022-02-13 20-34-42,3
2022-02-13 20-40-22,1
2022-02-13 20-43-22,0
2022-02-13 20-49-02,0
2022-02-13 20-59-22,3
2022-02-13 21-05-23,3
2022-02-13 21-09-03,3
2022-02-13 21-15-23,0
2022-02-13 21-20-03,1
2022-02-13 21-26-03,1
2022-02-13 21-31-43,3
2022-02-13 21-41-04,4
2022-02-13 21-44-44,2
2022-02-13 21-47-44,2
2022-02-13 21-52-44,1
2022-02-13 21-57-04,2
